Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
14451,R914MO,Led Morado - Pasta Transparente ,true,instock,no,18,product-variant,12813
14452,R914PR,Led Rojo - Pasta Roja ,true,instock,no,942,product-variant,12813
14453,R914R,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12813
14454,R914VE,Led Verde - Pasta Transparente ,true,instock,no,144,product-variant,12813
14455,R915PA,Led Amarillo - Pasta Amarilla ,true,instock,no,1490,product-variant,12823
14456,R915AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12823
14457,R915AZ,Led Azul - Pasta Transparente ,true,instock,no,219,product-variant,12823
14458,R915BL,Led Blanco - Pasta Transparente ,true,instock,no,99,product-variant,12823
14459,R915MO,Led Morado - Pasta Transparente ,true,instock,no,154,product-variant,12823
14460,R915PR,Led Rojo - Pasta Roja ,true,instock,no,680,product-variant,12823
14461,R915RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12823
14462,R915VE,Led Verde - Pasta Transparente ,true,instock,no,129,product-variant,12823
14464,V20L-AM,Led Amarillo - Pasta Transparente ,true,instock,no,11,product-variant,13520
14465,V20L-AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,13520
14466,V20L-BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,13520
